Produto,Descrição,"Pontos Qualificaveis","Pontos Bonificaveis","Preço Venda Sugerido","Preço Consultor","Margem Lucro na Revenda",QTD EM CASA - FECHADOS,"Valor Em Estoque","Valor Investido",QTD EM CASA - ABERTOS
TOTALL,,,,,,,133,"R$ 9.181,36","R$ 4.540,22",6
#,#,#,#,#,#,#,#,#,#,#
25240,ESMALTE 5 FREE EFFECT GEL -PITANGA - SUMMER VIBES DAZZLE,3.00,3.00,"R$ 27,00","R$ 7,90",241.77 %,,0,0,
25241,ESMALTE 5 FREE EFFECT GEL -BURITI- SUMMER VIBES DAZZLE,3.16,3.16,"R$ 27,00","R$ 7,90",241.77 %,,0,0,
25242,ESMALTE 5 FREE EFFECT GEL -CARAMBOLA- SUMMER VIBES DAZZLE,3.16,3.16,"R$ 27,00","R$ 7,90",241.77 %,,0,0,
25243,SOMBRAS LIQUIDAS SHINE EFFECT- BRONZE- SUMMER VIBES DAZZLE,6.00,6.00,"R$ 44,00","R$ 13,90",216.55 %,,0,0,
25244,SOMBRAS LIQUIDAS SHINE EFFECT- TROPICAL- SUMMER VIBES DAZZLE,6.00,6.00,"R$ 44,00","R$ 13,90",216.55 %,,0,0,
25245,SOMBRAS LIQUIDAS SHINE EFFECT- PRAIA- SUMMER VIBES DAZZLE,6.00,6.00,"R$ 44,00","R$ 13,90",216.55 %,,0,0,
25246,TRIO BLUSH ILUMINADOR-SUMMER VIBES DAZZLE,9.56,9.56,"R$ 79,00","R$ 23,90",230.54 %,,0,0,
25254,DAZZLE SUMMER VIBES BATOM IPANEMA - VINHO,7.80,7.80,"R$ 39,00","R$ 19,50",100.00 %,1,"R$ 39,00","R$ 19,50",
25255,DAZZLE SUMMER VIBES BATOM -CARAIVA,7.80,7.80,"R$ 39,00","R$ 19,50",100.00 %,,0,0,
25256,DAZZLE SUMMER VIBES BATOM -MACARAIPE,7.80,7.80,"R$ 39,00","R$ 19,50",100.00 %,,0,0,
25257,DAZZLE SUMMER VIBES BATOM -MARESIAS,7.80,7.80,"R$ 39,00","R$ 19,50",100.00 %,,0,0,
25258,FINAL TOUCH FINALIZADOR DE MAQUIAGEM,10.50,10.50,"R$ 39,90","R$ 19,95",100.00 %,,0,0,
25259,FINAL TOUCH FINALIZADOR MAQUIAGEM GLOW,10.73,10.73,"R$ 42,90","R$ 21,45",100.00 %,,0,0,
25260,DAZZLE BASE HYALURONIC HYDRA CLARO 1,19.54,19.54,"R$ 89,90","R$ 44,95",100.00 %,1,"R$ 89,90","R$ 44,95",
25261,DAZZLE BASE HYALURONIC HYDRA CLARO 2,19.54,19.54,"R$ 89,90","R$ 44,95",100.00 %,1,"R$ 89,90","R$ 44,95",
25262,DAZZLE BASE HYALURONIC HYDRA MEDIO 1,19.54,19.54,"R$ 89,90","R$ 44,95",100.00 %,1,"R$ 89,90","R$ 44,95",
25263,DAZZLE BASE HYALURONIC HYDRA MEDIO 2,19.54,19.54,"R$ 89,90","R$ 44,95",100.00 %,1,"R$ 89,90","R$ 44,95",
25264,DAZZLE BASE HYALURONIC HYDRA ESCURO 1,19.54,19.54,"R$ 89,90","R$ 44,95",100.00 %,1,"R$ 89,90","R$ 44,95",
25265,DAZZLE BASE HYALURONIC HYDRA ESCURO 2,19.54,19.54,"R$ 89,90","R$ 44,95",100.00 %,1,"R$ 89,90","R$ 44,95",
25266,DAZZLE BASE MATTE VELVET CLARO 1,11.65,11.65,"R$ 69,90","R$ 34,95",100.00 %,1,"R$ 69,90","R$ 34,95",
25267,DAZZLE BASE MATTE VELVET CLARO 2,11.65,11.65,"R$ 69,90","R$ 34,95",100.00 %,1,"R$ 69,90","R$ 34,95",
25268,DAZZLE BASE MATTE VELVET MEDIO 1,11.65,11.65,"R$ 69,90","R$ 34,95",100.00 %,1,"R$ 69,90","R$ 34,95",
25269,DAZZLE BASE MATTE VELVET MEDIO 2,11.65,11.65,"R$ 69,90","R$ 34,95",100.00 %,1,"R$ 69,90","R$ 34,95",
25270,DAZZLE BASE MATTE VELVET ESCURO 1,11.65,11.65,"R$ 69,90","R$ 34,95",100.00 %,1,"R$ 69,90","R$ 34,95",
25271,DAZZLE BASEMATTE VELVET ESCURO 2,11.65,11.65,"R$ 69,90","R$ 34,95",100.00 %,1,"R$ 69,90","R$ 34,95",
